path,is_control,slope,noise,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruct_text.started,instruct_text.stopped,ready.keys,ready.rt,ready.started,ready.stopped,timer1.started,timer1.stopped,timer2.started,timer2.stopped,timer3.started,timer3.stopped,timergo.started,timergo.stopped,image.started,image.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
dataset/42.png,False,0.01,0.25,up,0,74,74,42,,,,,,,,,,,,,,,108.69181319999916,None,None,None,up,0.9359795999989728,108.69181319999916,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/10.png,False,0.01,0.05,up,0,75,75,10,,,,,,,,,,,,,,,110.17539250000118,None,None,None,up,0.8591423999969265,110.17539250000118,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/88.png,False,-0.05,0.225,down,0,76,76,88,,,,,,,,,,,,,,,111.57535230000212,None,None,None,up,0.8903293999974267,111.57535230000212,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/124.png,False,-0.1,0.125,down,0,77,77,124,,,,,,,,,,,,,,,112.99194310000166,None,None,None,down,0.7925161000021035,112.99194310000166,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/150.png,False,0.1,0.275,up,0,78,78,150,,,,,,,,,,,,,,,114.3251745000016,None,None,None,up,0.5796480999997584,114.3251745000016,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/130.png,False,0.1,0.15,up,0,79,79,130,,,,,,,,,,,,,,,115.44170320000558,None,None,None,up,0.6241211999949883,115.44170320000558,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/77.png,False,-0.05,0.15,down,0,80,80,77,,,,,,,,,,,,,,,116.60839490000217,None,None,None,down,0.5456373999986681,116.60839490000217,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/5.png,False,-0.01,0.025,down,0,81,81,5,,,,,,,,,,,,,,,117.67526850000286,None,None,None,up,0.909220199995616,117.67526850000286,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/34.png,False,0.01,0.2,up,0,82,82,34,,,,,,,,,,,,,,,119.12520640000002,None,None,None,down,0.6650993000002927,119.12520640000002,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/59.png,False,0.05,0.025,up,0,83,83,59,,,,,,,,,,,,,,,120.32513860000472,None,None,None,up,0.5450354000058724,120.32513860000472,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/47.png,False,0.01,0.275,up,0,84,84,47,,,,,,,,,,,,,,,121.4086277000024,None,None,None,down,0.7078115999975125,121.4086277000024,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/136.png,False,-0.1,0.2,down,0,85,85,136,,,,,,,,,,,,,,,122.65850520000095,None,None,None,down,0.581433500003186,122.65850520000095,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/22.png,False,0.01,0.125,up,0,86,86,22,,,,,,,,,,,,,,,123.77514070000325,None,None,None,up,0.5856679999997141,123.77514070000325,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/138.png,False,0.1,0.2,up,0,87,87,138,,,,,,,,,,,,,,,124.90828920000058,None,None,None,up,0.738878999996814,124.90828920000058,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/131.png,False,0.1,0.15,up,0,88,88,131,,,,,,,,,,,,,,,126.19174010000279,None,None,None,up,0.7178499000001466,126.19174010000279,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/68.png,False,-0.05,0.1,down,0,89,89,68,,,,,,,,,,,,,,,127.44171780000033,None,None,None,down,0.8382254000025569,127.44171780000033,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/11.png,False,0.01,0.05,up,0,90,90,11,,,,,,,,,,,,,,,128.82520769999974,None,None,None,up,0.7847365999987232,128.82520769999974,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/107.png,False,0.1,0.0,up,0,91,91,107,,,,,,,,,,,,,,,130.15816410000116,None,None,None,up,0.5713488999972469,130.15816410000116,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/141.png,False,-0.1,0.225,down,0,92,92,141,,,,,,,,,,,,,,,131.27508460000536,None,None,None,down,0.658784299994295,131.27508460000536,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/106.png,False,0.1,0.0,up,0,93,93,106,,,,,,,,,,,,,,,132.45824720000383,None,None,None,up,0.5195787999982713,132.45824720000383,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/26.png,False,0.01,0.15,up,0,94,94,26,,,,,,,,,,,,,,,133.52504749999935,None,None,None,down,0.8002400000041234,133.52504749999935,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/71.png,False,0.05,0.1,up,0,95,95,71,,,,,,,,,,,,,,,134.85833280000224,136.35673460000544,136.35673460000544,None,up,2.13104949999979,134.85833280000224,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/33.png,False,-0.01,0.2,down,0,96,96,33,,,,,,,,,,,,,,,137.5248855000027,None,None,None,down,0.8553431999971508,137.5248855000027,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/19.png,False,0.01,0.1,up,0,97,97,19,,,,,,,,,,,,,,,138.9247933000006,None,None,None,down,1.13162359999842,138.9247933000006,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/161.png,True,-0.0,0.3,none,0,98,98,161,,,,,,,,,,,,,,,140.59124020000309,None,None,None,up,0.7633381999985431,140.59124020000309,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/69.png,False,-0.05,0.1,down,0,99,99,69,,,,,,,,,,,,,,,141.89134140000533,None,None,None,down,0.6732864000005065,141.89134140000533,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/129.png,False,-0.1,0.15,down,0,100,100,129,,,,,,,,,,,,,,,143.10810270000366,None,None,None,down,0.7956305999978213,143.10810270000366,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/53.png,False,-0.05,0.0,down,0,101,101,53,,,,,,,,,,,,,,,144.42480590000196,None,None,None,down,0.5704541000013705,144.42480590000196,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/154.png,False,0.1,0.3,up,0,102,102,154,,,,,,,,,,,,,,,145.54136210000433,None,None,None,up,0.5269006000016816,145.54136210000433,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/17.png,False,-0.01,0.1,down,0,103,103,17,,,,,,,,,,,,,,,146.60798559999967,None,None,None,down,0.6113186000002315,146.60798559999967,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/39.png,False,0.01,0.225,up,0,104,104,39,,,,,,,,,,,,,,,147.75804000000062,None,None,None,down,0.66260009999678,147.75804000000062,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/60.png,False,-0.05,0.05,down,0,105,105,60,,,,,,,,,,,,,,,148.9577619000047,None,None,None,down,0.6419892000049003,148.9577619000047,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/143.png,False,0.1,0.225,up,0,106,106,143,,,,,,,,,,,,,,,150.14103060000343,None,None,None,up,0.5781002000003355,150.14103060000343,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/118.png,False,0.1,0.075,up,0,107,107,118,,,,,,,,,,,,,,,151.25774580000143,None,None,None,up,0.5651886000050581,151.25774580000143,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/101.png,False,-0.05,0.3,down,0,108,108,101,,,,,,,,,,,,,,,152.3580021000016,None,None,None,down,0.6060856999974931,152.3580021000016,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/155.png,False,0.1,0.3,up,0,109,109,155,,,,,,,,,,,,,,,153.507863800005,None,None,None,up,0.6736076000015601,153.507863800005,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/121.png,False,-0.1,0.1,down,0,110,110,121,,,,,,,,,,,,,,,154.72431440000219,None,None,None,down,0.4998838999963482,154.72431440000219,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/7.png,False,0.01,0.025,up,0,111,111,7,,,,,,,,,,,,,,,155.75793740000518,None,None,None,up,0.860541000001831,155.75793740000518,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/15.png,False,0.01,0.075,up,0,112,112,15,,,,,,,,,,,,,,,157.157910599999,None,None,None,up,0.8413062000036007,157.157910599999,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/91.png,False,0.05,0.225,up,0,113,113,91,,,,,,,,,,,,,,,158.54088870000123,None,None,None,up,0.7532073999973363,158.54088870000123,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/45.png,False,-0.01,0.275,down,0,114,114,45,,,,,,,,,,,,,,,159.84091280000575,None,None,None,down,0.7652722999991965,159.84091280000575,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/158.png,True,0.0,0.0,none,0,115,115,158,,,,,,,,,,,,,,,161.141114500002,None,None,None,up,0.7750176999979885,161.141114500002,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/122.png,False,0.1,0.1,up,0,116,116,122,,,,,,,,,,,,,,,162.45776460000343,None,None,None,up,0.8288170000014361,162.45776460000343,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/67.png,False,0.05,0.075,up,0,117,117,67,,,,,,,,,,,,,,,163.82446619999973,None,None,None,up,0.6622948000003817,163.82446619999973,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/163.png,True,0.0,0.3,none,0,118,118,163,,,,,,,,,,,,,,,165.02436560000206,None,None,None,up,0.9041123999995762,165.02436560000206,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/86.png,False,0.05,0.2,up,0,119,119,86,,,,,,,,,,,,,,,166.47435470000346,None,None,None,up,0.58007290000387,166.47435470000346,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/137.png,False,-0.1,0.2,down,0,120,120,137,,,,,,,,,,,,,,,167.59099000000424,None,None,None,down,0.5424222000001464,167.59099000000424,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/159.png,True,0.0,0.0,none,0,121,121,159,,,,,,,,,,,,,,,168.6575049000021,None,None,None,up,0.7074962999977288,168.6575049000021,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/64.png,False,-0.05,0.075,down,0,122,122,64,,,,,,,,,,,,,,,169.90764680000575,None,None,None,down,0.6232858000003034,169.90764680000575,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/38.png,False,0.01,0.225,up,0,123,123,38,,,,,,,,,,,,,,,171.057633299999,None,None,None,up,0.8838309999991907,171.057633299999,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
dataset/119.png,False,0.1,0.075,up,0,124,124,119,,,,,,,,,,,,,,,172.4735456000053,None,None,None,up,0.6419801000010921,172.4735456000053,None,,,,,,,,001,2020_Dec_05_1407,experiment,2020.2.8,60.038316453514405,
